id,Names,Distance,Mass,Radius
96,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '0', '0', '7', '3', '3', '6', '9', '-', '4', '5', '5', '5', '1', '4', '7']","['4', '6']","['4', '4']","['0', '.', '9', '4']"
97,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '1', '0', '1', '0', '1', '4', '8', '-', '0', '4', '0', '6', '4', '9', '\xa0', '[', 'd', 'e', ']']","['5', '5']","['5', '1']","['0', '.', '9', '8']"
98,"['2', 'M', 'A', 'S', 'S', 'I', ' ', 'J', '1', '0', '1', '7', '0', '7', '5', '+', '1', '3', '0', '8', '3', '9', '\xa0', '[', 'd', 'e', ']']","['1', '0', '8']",[],[]
99,"['S', 'D', 'S', 'S', ' ', 'J', '1', '0', '2', '1', '0', '9', '.', '6', '9', '-', '0', '3', '0', '4', '2', '0', '.', '1']","['9', '5']",[],[]
100,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '0', '2', '2', '4', '8', '2', '1', '+', '5', '8', '2', '5', '4', '5', '3', '\xa0', '[', 'd', 'e', ']']","['6', '0']","['2', '7']","['1', '.', '4', '1']"
101,"['2', 'M', 'A', 'S', 'S', 'W', ' ', 'J', '1', '0', '3', '6', '5', '3', '0', '-', '3', '4', '4', '1', '3', '8', '\xa0', '[', 'd', 'e', ']']","['5', '3']","['4', '9']","['0', '.', '9', '7']"
102,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '0', '4', '7', '5', '3', '8', '+', '2', '1', '2', '4', '2', '3', '\xa0', '[', 'd', 'e', ']']","['3', '4', '.', '4']","['4', '2']","['0', '.', '9', '4']"
103,"['L', 'u', 'h', 'm', 'a', 'n', ' ', '1', '6', 'B']","['6', '.', '5', '1', '6']","['4', '3']","['1', '.', '0', '2']"
104,"['L', 'u', 'h', 'm', 'a', 'n', ' ', '1', '6', 'A']","['6', '.', '5', '1', '6']","['4', '0']","['1', '.', '0', '1']"
105,"['D', 'E', 'N', 'I', 'S', '-', 'P', ' ', 'J', '1', '0', '5', '8', '.', '7', '−', '1', '5', '4', '8']","['4', '9']","['6', '4']","['1', '.', '0', '0']"
106,"['T', 'W', 'A', ' ', '2', '8']","['1', '8', '0']","['3', '6']","['2', '.', '3', '9']"
107,"['C', 'h', 'a', ' ', '1', '1', '0', '9', '1', '3', '-', '7', '7', '3', '4', '4', '4']","['1', '6', '3']",['8'],"['1', '.', '8']"
108,"['O', 'T', 'S', ' ', '4', '4']","['5', '5', '4']","['1', '5']",[]
109,"['S', 'D', 'S', 'S', ' ', 'J', '1', '1', '1', '0', '1', '0', '.', '0', '1', '+', '0', '1', '1', '6', '1', '3', '.', '1']","['6', '3']",['9'],"['1', '.', '2', '4']"
110,"['2', 'M', 'A', 'S', 'S', ' ', 'J', '1', '1', '1', '4', '5', '1', '3', '3', '−', '2', '6', '1', '8', '2', '3', '5']","['1', '8', '.', '2']","['3', '3']","['0', '.', '9', '6']"
